id;id_2;nct_id;any paper (0=no paper, 1=article, 2=non-publication equivalent like abstract or poster);publication found (1=linked in registry, 2=google search - trial number, 3=google search - PI + intervention, 4=google, either via trial number or search terms);pmid;publication date (only fill in if no PMID available);comments from doublecheck;last_update_submitted_date;registration_date;summary_results_date;study_type;phase;enrollment;recruitment_status;title;start_date;completion_date;primary_completion_date;has_summary_results;allocation;masking;main_sponsor;is_multicentric;principal_investigator_1;principal_investigator_2;principal_investigator_3;study_chair_1;study_chair_2;study_director_1;study_director_2;unspecified_official;sub_investigator;registration_year;start_year;completion_year;primary_completion_year;affiliation;initial doublecheck (1=yes);main sample rater
290;182;NCT01852032;1;3;22380376;01.03.2012;;19.03.2018;29.10.2012;13.02.2018;Interventional;Not Applicable;23;Completed;Computed Tomography Versus Standard 2D Mammography Versus 3D Tomosynthesis;2010-11-01T00:00:00Z;2016-03-04T00:00:00Z;2016-03-04T00:00:00Z;TRUE;NA;None (Open Label);OTHER;FALSE;University of California, Davis;NA;NA;NA;NA;NA;NA;NA;NA;2012;2010;2016;2016;UCD;;Samruddhi
852;330;NCT00957229;1;1;22670904;07.06.2012;;16.12.2020;05.08.2009;08.10.2020;Interventional;Phase 2;41;Completed;To Determine The Efficacy and Safety of GDC-0449 in Patients With Basal Cell Nevus Syndrome (BCNS);2009-08-01T00:00:00Z;2014-01-01T00:00:00Z;2014-01-01T00:00:00Z;TRUE;Randomized;Triple;OTHER;TRUE;UCSF Benioff Children's Hospital Oakland;NA;NA;NA;NA;NA;NA;NA;NA;2009;2009;2014;2014;UCSF;;Samruddhi
306;357;NCT00694889;1;1;22992330;07.08.2012;;12.05.2016;09.06.2008;NA;Interventional;Phase 1/Phase 2;144;Completed;Randomized Clinical Trial of Intensive Computer-based Cognitive Remediation in Recent-onset Schizophrenia;2007-08-01T00:00:00Z;2015-02-01T00:00:00Z;2015-02-01T00:00:00Z;FALSE;Randomized;Triple;OTHER;TRUE;"University of California, San Francisco; San Francisco VA Medical Center; NCIRE - The Veterans Health Research Institute";NA;NA;NA;NA;University of California, Davis;University of California, San Francisco;NA;NA;2008;2007;2015;2015;UCD, UCSF;;Emmanuel
628;72;NCT02111993;1;3;23051838;10.10.2012;;20.05.2019;09.04.2014;08.03.2016;Interventional;Not Applicable;60;Completed;Evaluating Myocardial Injury for Defibrillation Threshold Testing Methods for ICD Implantation;2011-08-01T00:00:00Z;2015-06-01T00:00:00Z;2015-04-01T00:00:00Z;TRUE;Randomized;None (Open Label);OTHER;FALSE;University of California, San Diego;NA;NA;NA;NA;NA;NA;NA;NA;2014;2011;2015;2015;UCSD;;Samruddhi
517;448;NCT01076829;1;3;23320544;07.03.2013;participant number higher, outcome same?;09.06.2014;25.02.2010;NA;Interventional;Not Applicable;10;Completed;Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes;2009-07-01T00:00:00Z;2014-06-01T00:00:00Z;2014-06-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2010;2009;2014;2014;UCLA;;Nicole
511;442;NCT00996528;1;1;23435303;01.06.2013;;06.10.2021;15.10.2009;NA;Interventional;Phase 3;1239;Active, not recruiting;Neighborhood Alcohol & HIV Prevention in South African Townships (Philani);2007-09-01T00:00:00Z;2025-09-01T00:00:00Z;2015-09-01T00:00:00Z;FALSE;Randomized;Single;OTHER;FALSE;Department of Psychiatry & Biobehavioral Sciences, Semel Institute, UCLA;NA;NA;NA;NA;NA;NA;NA;NA;2009;2007;2025;2015;UCLA;;Stefanie
770;109;NCT00458393;1;1;23435697;01.07.2013;;29.10.2021;06.04.2007;27.12.2016;Interventional;Phase 3;2499;Completed;Emtricitabine/Tenofovir Disoproxil Fumarate for HIV Prevention in Men;2007-06-01T00:00:00Z;2014-02-01T00:00:00Z;2014-02-01T00:00:00Z;TRUE;Randomized;Double;NIH;TRUE;J. David Gladstone Institutes, University of California San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2007;2007;2014;2014;UCSF;;Stefanie
147;296;NCT00375830;1;1;23455520;01.07.2013;pilot phase of trial as per protocol;11.11.2019;11.09.2006;19.10.2019;Interventional;Phase 2;114;Completed;Combined 18F-NaF/18F-FDG PET/MRI for Detection of Skeletal Metastases;2006-01-01T00:00:00Z;2019-03-14T00:00:00Z;2017-04-17T00:00:00Z;TRUE;Non-Randomized;None (Open Label);OTHER;FALSE;Stanford University;NA;NA;NA;NA;NA;NA;NA;NA;2006;2006;2019;2017;Stanford;;Susanne
432;31;NCT01699789;1;1;23649787;07.05.2013;;22.06.2021;27.09.2012;06.05.2014;Interventional;Not Applicable;1246;Completed;Community Partners in Care is a Research Project Funded by the National Institutes of Health;2009-01-01T00:00:00Z;2016-05-31T00:00:00Z;2016-05-31T00:00:00Z;TRUE;Randomized;Single;OTHER;FALSE;"RAND Corporation, UCLA Semel Institute; Harbor-UCLA Medical Center, UCLA Semel Institute; UCLA Semel Institute";NA;NA;NA;NA;NA;NA;NA;NA;2012;2009;2016;2016;UCLA;;Nicole
543;472;NCT01642719;1;2;23811325;28.06.2013;;17.07.2019;13.07.2012;NA;Interventional;Phase 1;200;Completed;Chronic Moderate Sleep Restriction in Older Adults;2012-07-01T00:00:00Z;2018-12-01T00:00:00Z;2017-08-01T00:00:00Z;FALSE;Randomized;Single;OTHER;TRUE;University of California, Los Angeles;NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2018;2017;UCLA;;Stefanie
279;110;NCT00134056;1;3;23871417;17.07.2013;publication found trhough one linked in registry, but was not linked;08.10.2021;22.08.2005;04.01.2017;Interventional;Phase 3;1038;Completed;S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone Therapy;2006-08-01T00:00:00Z;2016-02-01T00:00:00Z;2016-02-01T00:00:00Z;TRUE;Randomized;Triple;NETWORK;TRUE;NA;NA;NA;University of California, Davis;University of Southern California;NA;NA;NA;NA;2005;2006;2016;2016;UCD, USC;;Mario
889;624;NCT01398046;1;1;23980906;10.09.2013;;24.04.2015;05.07.2011;NA;Interventional;Phase 1;10;Completed;Effects of Gastric pH on the Pharmacokinetics of Dasatinib;2011-08-01T00:00:00Z;2014-02-01T00:00:00Z;2014-02-01T00:00:00Z;FALSE;Randomized;None (Open Label);OTHER;FALSE;University of California, San Francisco;NA;NA;NA;NA;NA;NA;NA;NA;2011;2011;2014;2014;UCSF;;Mario
