"id","has_summary_results","crossreg_euctr_id","is_crossreg_eudract"
"NCT02424552",FALSE,"2010-020793-42",TRUE
"NCT01679405",TRUE,NA,FALSE
"NCT01627379",FALSE,"2010-020606-15",TRUE
"NCT00727207",FALSE,"2007-005116-12",TRUE
"NCT01841632",TRUE,"2009-017795-25",TRUE
"NCT01540344",FALSE,"2009-014040-11",TRUE
"NCT00950274",FALSE,"2006-006404-11",TRUE
"NCT02052193",FALSE,NA,FALSE
"NCT01055522",FALSE,"2005-002716-16",TRUE
"NCT02820519",FALSE,"2014-005440-17",TRUE
"NCT01532453",TRUE,NA,FALSE
"NCT03854942",FALSE,NA,FALSE
"NCT02585752",FALSE,NA,FALSE
"NCT02539680",FALSE,NA,FALSE
"NCT02077309",FALSE,"2012-003859-12",TRUE
"NCT01941550",FALSE,NA,FALSE
"NCT01888796",FALSE,"2012-003858-81",TRUE
"NCT01341106",FALSE,"2010-019884-12",TRUE
"NCT01266187",FALSE,"2008-005312-41",TRUE
"NCT01262729",FALSE,"2010-022679-71",TRUE
"NCT01242956",FALSE,NA,FALSE
"NCT02475252",FALSE,NA,FALSE
"NCT01402414",FALSE,NA,FALSE
"NCT01563614",FALSE,NA,FALSE
"NCT02726048",FALSE,NA,FALSE
"NCT02019498",FALSE,NA,FALSE
"NCT01523938",FALSE,NA,FALSE
"NCT01413243",FALSE,NA,FALSE
"NCT01370044",FALSE,"2011-001403-12",TRUE
"NCT01259830",FALSE,NA,FALSE
"NCT02157363",FALSE,NA,FALSE
"NCT01146821",FALSE,"2010-021018-49",TRUE
"NCT02595840",FALSE,"2014-001983-36",TRUE
"NCT02541357",FALSE,NA,FALSE
"NCT02488694",FALSE,NA,FALSE
"NCT02185703",FALSE,NA,FALSE
"NCT02150473",FALSE,"2013-004604-19",TRUE
"NCT01755871",FALSE,NA,FALSE
"NCT00977132",FALSE,NA,FALSE
"NCT01176214",FALSE,NA,FALSE
"NCT02081053",FALSE,NA,FALSE
"NCT00945126",FALSE,NA,FALSE
"NCT00711542",FALSE,NA,FALSE
"NCT01690572",FALSE,NA,FALSE
"NCT01517776",FALSE,"2009-011898-33",TRUE
"NCT01060423",FALSE,"2009-014728-44",TRUE
"NCT01045512",FALSE,"2007-003003-12",TRUE
"NCT02818959",FALSE,NA,FALSE
"NCT02606799",FALSE,NA,FALSE
"NCT02417103",FALSE,NA,FALSE
"NCT02071511",FALSE,NA,FALSE
"NCT01887041",FALSE,NA,FALSE
"NCT01759238",FALSE,"2011-005296-16",TRUE
"NCT01021202",FALSE,NA,FALSE
"NCT00858793",FALSE,NA,FALSE
"NCT02728453",FALSE,NA,FALSE
"NCT02374567",FALSE,NA,FALSE
"NCT01336530",FALSE,"2009-014441-93",TRUE
"NCT01117662",FALSE,NA,FALSE
"NCT02772146",FALSE,NA,FALSE
"NCT02130128",FALSE,NA,FALSE
"NCT01666600",FALSE,NA,FALSE
"NCT01617980",FALSE,NA,FALSE
"NCT01362582",FALSE,NA,FALSE
"NCT00753441",FALSE,NA,FALSE
"NCT01522612",FALSE,"2011-002947-83",TRUE
"NCT02641782",FALSE,NA,FALSE
"NCT02891863",TRUE,NA,FALSE
"NCT02523859",FALSE,NA,FALSE
"NCT00595647",FALSE,NA,FALSE
"NCT02039167",FALSE,NA,FALSE
"NCT02594332",FALSE,"2015-001868-19",TRUE
"NCT01340690",FALSE,NA,FALSE
"NCT00659867",FALSE,NA,FALSE
"NCT02312479",FALSE,NA,FALSE
"NCT00834314",FALSE,NA,FALSE
"NCT02675816",FALSE,NA,FALSE
"NCT02139098",FALSE,"2013-003229-27",TRUE
"NCT02207309",FALSE,"2013-000522-58",TRUE
"NCT01690325",FALSE,NA,FALSE
"NCT01439958",FALSE,"2011-004304-38",TRUE
"NCT01419002",FALSE,NA,FALSE
"NCT01138579",FALSE,NA,FALSE
"NCT01407679",FALSE,NA,FALSE
"NCT01303250",FALSE,"2009-017595-25",TRUE
"NCT00413127",FALSE,"2007-000259-33",TRUE
"NCT02058810",FALSE,NA,FALSE
"NCT02739685",FALSE,NA,FALSE
"NCT02632292",FALSE,NA,FALSE
"NCT01312623",FALSE,NA,FALSE
"NCT02140138",FALSE,"2013-004489-32",TRUE
"NCT01683864",TRUE,"2011-004405-25",TRUE
"NCT01582048",FALSE,"2011-002192-41",TRUE
"NCT01289938",FALSE,"2008-003778-16",TRUE
"NCT00961142",FALSE,"2007-006016-33",TRUE
"NCT02198482",FALSE,"2014-000477-39",TRUE
"NCT01837082",FALSE,"2012-001134-33",TRUE
"NCT01397149",FALSE,"2010-023022-20",TRUE
"NCT01611207",FALSE,NA,FALSE
