"id";"pmid";"doi";"any paper";"publication_found";"publication_date";"comments_from_doublecheck";"last_update_submitted_date";"registration_date";"summary_results_date";"study_type";"phase";"enrollment";"recruitment_status";"title";"start_date";"completion_date";"primary_completion_date";"has_summary_results";"allocation";"masking";"main_sponsor";"is_multicentric";"principal_investigator_1";"principal_investigator_2";"principal_investigator_3";"study_chair_1";"study_chair_2";"study_director_1";"study_director_2";"unspecified_official";"sub_investigator";"registration_year";"start_year";"completion_year";"primary_completion_year";"affiliation";"initial_doublecheck";"main_sample_rater";"publication_type";"has_reg_pub_link";"color_green_only";"color";"issn";"journal";"publisher";"publication_date_unpaywall";"has_followup_2y";"has_followup_2y_pub";"has_followup_2y_sumres";"has_followup_5y";"has_followup_5y_pub";"has_followup_5y_sumres";"is_summary_results_5y";"is_summary_results_2y";"is_publication_2y";"is_publication_5y";"has_publication";"has_pubmed";"has_ft";"ft_source";"ft_doi.x";"pub_title";"journal_pubmed";"ppub_date";"epub_date";"citation";"registry";"has_trn_secondary_id";"has_trn_abstract";"has_trn_ft";"ft_doi.y"
"NCT00694889";"22992330";"10.1007/s11606-013-2484-3";1;1;2012-08-07;NA;2016-05-12;2008-06-09;NA;"Interventional";"Phase 1/Phase 2";144;"Completed";"Randomized Clinical Trial of Intensive Computer-based Cognitive Remediation in Recent-onset Schizophrenia";2007-08-01;2015-02-01;2015-02-01;FALSE;"Randomized";"Triple";"OTHER";TRUE;"University of California, San Francisco; San Francisco VA Medical Center; NCIRE - The Veterans Health Research Institute";NA;NA;NA;NA;"University of California, Davis";NA;NA;NA;2008;2007;2015;2015;"UCD, UCSF";NA;"Emmanuel";"journal publication";TRUE;"hybrid";"hybrid";"0884-8734,1525-1497";"Journal of General Internal Medicine";"Springer Science and Business Media LLC";2013-05-07;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Genetic correlate of cognitive training response in schizophrenia";"Neuropharmacology";"2013-Jan";"2012-08-07";"Panizzutti et al. (2013) Genetic correlate of cognitive training response in schizophrenia";"ClinicalTrials.gov";TRUE;FALSE;FALSE;TRUE
"NCT02111993";"23051838";"10.1016/j.cct.2013.06.014";1;3;2012-10-10;NA;2019-05-20;2014-04-09;2016-03-08;"Interventional";"Not Applicable";60;"Completed";"Evaluating Myocardial Injury for Defibrillation Threshold Testing Methods for ICD Implantation";2011-08-01;2015-06-01;2015-04-01;TRUE;"Randomized";"None (Open Label)";"OTHER";FALSE;"University of California, San Diego";NA;NA;NA;NA;NA;NA;NA;NA;2014;2011;2015;2015;"UCSD";NA;"Samruddhi";"journal publication";FALSE;"green";"green";"1551-7144";"Contemporary Clinical Trials";"Elsevier BV";2013-09-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Automated vulnerability testing identifies patients with inadequate defibrillation safety margin";"Circulation. Arrhythmia and electrophysiology";"2012-Dec";"2012-10-10";"Birgersdotter-Green et al. (2012) Automated vulnerability testing identifies patients with inadequate defibrillation safety margin";NA;FALSE;FALSE;FALSE;NA
"NCT01076829";"23320544";"10.1016/S1470-2045(13)70294-8";1;3;2013-03-07;"participant number higher, outcome same?";2014-06-09;2010-02-25;NA;"Interventional";"Not Applicable";10;"Completed";"Effects of a Spiced Meat Patty on Inflammation in Men With Type 2 Diabetes";2009-07-01;2014-06-01;2014-06-01;FALSE;"Randomized";"None (Open Label)";"OTHER";FALSE;"University of California, Los Angeles";NA;NA;NA;NA;NA;NA;NA;NA;2010;2009;2014;2014;"UCLA";NA;"Nicole";"journal publication";FALSE;"green";"green";"1470-2045";"The Lancet Oncology";"Elsevier BV";2013-08-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Decrease of postprandial endothelial dysfunction by spice mix added to high-fat hamburger meat in men with Type 2 diabetes mellitus";"Diabetic medicine : a journal of the British Diabetic Association";"2013-May";"2013-03-07";"Li et al. (2013) Decrease of postprandial endothelial dysfunction by spice mix added to high-fat hamburger meat in men with Type 2 diabetes mellitus";NA;FALSE;FALSE;FALSE;NA
"NCT00996528";"23435303";"10.1021/mp4003738";1;1;2013-06-01;NA;2021-10-06;2009-10-15;NA;"Interventional";"Phase 3";1239;"Active, not recruiting";"Neighborhood Alcohol & HIV Prevention in South African Townships (Philani)";2007-09-01;2025-09-01;2015-09-01;FALSE;"Randomized";"Single";"OTHER";FALSE;"Department of Psychiatry & Biobehavioral Sciences, Semel Institute, UCLA";NA;NA;NA;NA;NA;NA;NA;NA;2009;2007;2025;2015;"UCLA";NA;"Stefanie";"journal publication";TRUE;"green";"green";"1543-8384,1543-8392";"Molecular Pharmaceutics";"American Chemical Society (ACS)";2013-09-10;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Outcomes of home visits for pregnant mothers and their infants: a cluster randomized controlled trial";"AIDS (London, England)";"2013-Jun-01";NA;"le Roux et al. (2013) Outcomes of home visits for pregnant mothers and their infants: a cluster randomized controlled trial";"ClinicalTrials.gov";TRUE;FALSE;FALSE;TRUE
"NCT00458393";"23435697";"10.1016/j.jpeds.2013.07.017";1;1;2013-07-01;NA;2021-10-29;2007-04-06;2016-12-27;"Interventional";"Phase 3";2499;"Completed";"Emtricitabine/Tenofovir Disoproxil Fumarate for HIV Prevention in Men";2007-06-01;2014-02-01;2014-02-01;TRUE;"Randomized";"Double";"NIH";TRUE;"J. David Gladstone Institutes, University of California San Francisco";NA;NA;NA;NA;NA;NA;NA;NA;2007;2007;2014;2014;"UCSF";NA;"Stefanie";"journal publication";TRUE;"green";"green";"0022-3476";"The Journal of Pediatrics";"Elsevier BV";2013-12-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Adherence support approaches in biomedical HIV prevention trials: experiences, insights and future directions from four multisite prevention trials";"AIDS and behavior";"2013-Jul";NA;"Amico et al. (2013) Adherence support approaches in biomedical HIV prevention trials: experiences, insights and future directions from four multisite prevention trials";"ClinicalTrials.gov";TRUE;FALSE;FALSE;TRUE
"NCT00375830";"23455520";"10.1007/s10637-013-0024-y";1;1;2013-07-01;"pilot phase of trial as per protocol";2019-11-11;2006-09-11;2019-10-19;"Interventional";"Phase 2";114;"Completed";"Combined 18F-NaF/18F-FDG PET/MRI for Detection of Skeletal Metastases";2006-01-01;2019-03-14;2017-04-17;TRUE;"Non-Randomized";"None (Open Label)";"OTHER";FALSE;"Stanford University";NA;NA;NA;NA;NA;NA;NA;NA;2006;2006;2019;2017;"Stanford";NA;"Susanne";"journal publication";TRUE;"green";"green";"0167-6997,1573-0646";"Investigational New Drugs";"Springer Science and Business Media LLC";2013-09-08;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Pilot prospective evaluation of 99mTc-MDP scintigraphy, 18F NaF PET/CT, 18F FDG PET/CT and whole-body MRI for detection of skeletal metastases";"Clinical nuclear medicine";"2013-Jul";NA;"Iagaru et al. (2013) Pilot prospective evaluation of 99mTc-MDP scintigraphy, 18F NaF PET/CT, 18F FDG PET/CT and whole-body MRI for detection of skeletal metastases";NA;FALSE;FALSE;FALSE;NA
"NCT01699789";"23649787";"10.1155/2013/585143";1;1;2013-05-07;NA;2021-06-22;2012-09-27;2014-05-06;"Interventional";"Not Applicable";1246;"Completed";"Community Partners in Care is a Research Project Funded by the National Institutes of Health";2009-01-01;2016-05-31;2016-05-31;TRUE;"Randomized";"Single";"OTHER";FALSE;"RAND Corporation, UCLA Semel Institute; Harbor-UCLA Medical Center, UCLA Semel Institute; UCLA Semel Institute";NA;NA;NA;NA;NA;NA;NA;NA;2012;2009;2016;2016;"UCLA";NA;"Nicole";"journal publication";TRUE;"gold";"gold";"2090-1240,2090-1259";"AIDS Research and Treatment";"Hindawi Limited";2013-01-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Community-partnered cluster-randomized comparative effectiveness trial of community engagement and planning or resources for services to address depression disparities";"Journal of general internal medicine";"2013-Oct";"2013-05-07";"Wells et al. (2013) Community-partnered cluster-randomized comparative effectiveness trial of community engagement and planning or resources for services to address depression disparities";NA;FALSE;FALSE;FALSE;NA
"NCT01642719";"23811325";"10.2196/resprot.2789";1;2;2013-06-28;NA;2019-07-17;2012-07-13;NA;"Interventional";"Phase 1";200;"Completed";"Chronic Moderate Sleep Restriction in Older Adults";2012-07-01;2018-12-01;2017-08-01;FALSE;"Randomized";"Single";"OTHER";TRUE;"University of California, Los Angeles";NA;NA;NA;NA;NA;NA;NA;NA;2012;2012;2018;2017;"UCLA";NA;"Stefanie";"journal publication";FALSE;"gold";"gold";"1929-0748";"JMIR Research Protocols";"JMIR Publications Inc.";2013-11-06;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Chronic moderate sleep restriction in older long sleepers and older average duration sleepers: a randomized controlled trial";"Contemporary clinical trials";"2013-Sep";"2013-06-28";"Youngstedt et al. (2013) Chronic moderate sleep restriction in older long sleepers and older average duration sleepers: a randomized controlled trial";NA;FALSE;FALSE;FALSE;NA
"NCT00134056";"23871417";"10.1093/cid/cit813";1;3;2013-07-17;"publication found trhough one linked in registry, but was not linked";2021-10-08;2005-08-22;2017-01-04;"Interventional";"Phase 3";1038;"Completed";"S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone Therapy";2006-08-01;2016-02-01;2016-02-01;TRUE;"Randomized";"Triple";"NETWORK";TRUE;NA;NA;NA;"University of California, Davis";"University of Southern California";NA;NA;NA;NA;2005;2006;2016;2016;"UCD, USC";NA;"Mario";"journal publication";FALSE;"bronze";"green";"1058-4838,1537-6591";"Clinical Infectious Diseases";"Oxford University Press (OUP)";2013-12-12;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Docetaxel and atrasentan versus docetaxel and placebo for men with advanced castration-resistant prostate cancer (SWOG S0421): a randomised phase 3 trial";"The Lancet. Oncology";"2013-Aug";"2013-07-17";"Quinn et al. (2013) Docetaxel and atrasentan versus docetaxel and placebo for men with advanced castration-resistant prostate cancer (SWOG S0421): a randomised phase 3 trial";"ClinicalTrials.gov";TRUE;TRUE;FALSE;TRUE
"NCT01398046";"23980906";"10.1176/appi.ps.650101";1;1;2013-09-10;NA;2015-04-24;2011-07-05;NA;"Interventional";"Phase 1";10;"Completed";"Effects of Gastric pH on the Pharmacokinetics of Dasatinib";2011-08-01;2014-02-01;2014-02-01;FALSE;"Randomized";"None (Open Label)";"OTHER";FALSE;"University of California, San Francisco";NA;NA;NA;NA;NA;NA;NA;NA;2011;2011;2014;2014;"UCSF";NA;"Mario";"journal publication";TRUE;"green";"green";"1075-2730,1557-9700";"Psychiatric Services";"American Psychiatric Association Publishing";2014-01-01;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;NA;NA;TRUE;TRUE;TRUE;TRUE;TRUE;"doi";TRUE;"Gastric reacidification with betaine HCl in healthy volunteers with rabeprazole-induced hypochlorhydria";"Molecular pharmaceutics";"2013-Nov-04";"2013-09-10";"Yago et al. (2013) Gastric reacidification with betaine HCl in healthy volunteers with rabeprazole-induced hypochlorhydria";"ClinicalTrials.gov";TRUE;FALSE;FALSE;TRUE
